AAPL_x,AAPL_y
2022-01-12,17571234.0781138
2022-01-13,11184064.0987343
2022-01-14,4780798.97865959
2022-01-15,4369367.74347271
2022-01-16,3917442.78338563
2022-01-17,3149744.4306554
2022-01-18,3587493.41677055
2022-01-19,6670983.29296126
2022-01-20,26721127.4067812
2022-01-21,30436875.5076289
2022-01-22,5990845.46989957
2022-01-23,4346398.227064
2022-01-24,3690543.95415688
2022-01-25,9905681.59452416
2022-01-26,28227853.0359476
2022-01-27,16422685.1483391
2022-01-28,6060810.65443179
2022-01-29,5553187.90900305
2022-01-30,9932769.45683842
2022-01-31,12557444.5805574
2022-02-01,32521710.5675265
2022-02-02,9400637.7802027
2022-02-03,4601118.32554334
2022-02-04,6976563.34543169
2022-02-05,3627220.15062745
2022-02-06,4136363.78815074
2022-02-07,8735979.78195607
2022-02-08,2059211.87394142
2022-02-09,3112041.76334255
2022-02-10,3852898.65251165
2022-02-11,2458839.29617563
2022-02-12,2763228.01224469
2022-02-13,5771037.02679746
2022-02-14,4096770.73480975
2022-02-15,10794001.2537357
2022-02-16,5439455.56697622
2022-02-17,3608946.58453056
2022-02-18,2427021.36246293
2022-02-19,1846455.03770473
2022-02-20,2471030.30227591
2022-02-21,1652993.99933383
2022-02-22,2076330.88419336
2022-02-23,1558848.09568961
2022-02-24,3774610.08385399
2022-02-25,2992710.50896411
2022-02-26,768783.832850437
2022-02-27,1089014.3321745
2022-02-28,979377.283181172
2022-03-01,1226518.42410344
2022-03-02,1226834.22859843
2022-03-03,2245641.36397795
2022-03-04,3556734.01104251
2022-03-05,764822.917336143
2022-03-06,845150.361416061
2022-03-07,1458893.97306545
2022-03-08,802444.319470168
2022-03-09,534366.705466974
2022-03-10,1171331.13907185
2022-03-11,729277.638406665
2022-03-12,1010552.98815512
2022-03-13,1461915.37882997
2022-03-14,664378.412582387
2022-03-15,663366.604929863
2022-03-16,1070355.0994154
2022-03-17,1899314.90699611
2022-03-18,10386610.1232488
2022-03-19,2394408.29319471
